,title
,912
Original Article,30
Access to,8
Bibliography of the current world literature,7
"Veterinary Science pISSN 1229-845X, eISSN 1976-555X",7
-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/),6
"INQUIRY: The Journal of Health Care Organization, Provision, and Financing",5
Supporting Information,4
The Author(s),4
Supplementary Figures,4
Case Studies in Public Health,3
Current Opinion in Virology,3
EMERGENCE OF SARS,3
Brief Communication,3
Search past issues of EID at www.cdc.gov/eid,3
Origin and Evolution of Viruses,3
Advance Access Publication,3
Viral gastroenteritis,3
ScienceDirect,3
DISPATCHES,3
The Veterinary Journal,3
A binning tool to reconstruct viral haplotypes from assembled contigs,2
Regular Article,2
MERS-CoV spillover at the camel-human interface,2
RNA pseudoknots,2
Vitrification after multiple rounds of sample application and blotting improves particle density on cryo-electron microscopy grids,2
World Health Organization Methodology to Prioritize Emerging Infectious Diseases in Need of Research and Development,2
ScienceDirect The place of extra-corporeal oxygenation in pulmonary diseases,2
IFIT3 and IFIT2/3 promote IFIT1-mediated translation inhibition by enhancing binding to non-self RNA,2
Veterinary Microbiology Identification of enteric viruses circulating in a dog population with low vaccine coverage,2
Address reprint requests to,2
Chimeric Pneumoviridae fusion proteins as immunogens to induce cross-neutralizing antibody responses,2
Bayesian mixture analysis for metagenomic community profiling,2
Quantifying the Risk and Cost of Active Monitoring for Infectious Diseases,2
Drug screening with human SMN2 reporter identifies SMN protein stabilizers to correct SMA pathology,2
Journal of Cardiovascular Disease Research OPEN ACCESS JCDR: Invited Review The Dual Role of TNF in Pulmonary Edema,2
"TWIRLS, an automated topic-wise inference method based on massive literature, suggests a possible mechanism via ACE2 for the pathological changes in the human host after coronavirus infection",2
Veterinary Microbiology Identification of co-infection by rotavirus and parvovirus in dogs with gastroenteritis in Mexico,2
Emerging infectious diseases,2
Journal Pre-proof Discovery and development of safe-in-man broad-spectrum antiviral agents Discovery and Development of Safe-in-man Broad-Spectrum Antiviral Agents,2
Interleukin-18 expression and the response to treatment in patients with psoriasis,2
Case Report,2
Invasive and non-invasive mechanical ventilation,2
Original Research,2
"Qingfei Xiaoyan Wan, a traditional Chinese medicine formula, ameliorates Pseudomonas aeruginosa-induced acute lung inflammation by regulation of PI3K/AKT and Ras/MAPK pathways-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/)",2
Influenza A virus surface proteins are organized to help penetrate host mucus,2
Research in Veterinary Science,2
Noroviruses subvert the core stress granule component G3BP1 to promote viral VPg-dependent translation,2
EXPERIMENTAL AND THERAPEUTIC MEDICINE,2
-NC-ND license (http:// creativecommons.org/licenses/by-nc-nd/4.0/),2
Cytokine,2
Adverse effects of isolation in hospitalised patients: a systematic review,2
A cascade reaction network mimicking the basic functional steps of acquired immune response,2
The history of respiratory disease management,2
Alignment-free similarity analysis for protein sequences based on fuzzy integral,2
Improving early epidemiological assessment of emerging Aedes-transmitted epidemics using historical data,2
The Dictionary of Cell and Molecular Biology,2
"Citation: Molecular Therapy-Nucleic Acids (2012) 1, e56; Molecular Therapy-Nucleic Acids (2012) 1, e56",2
MERS-CoV recombination: implications about the reservoir and potential for adaptation,2
Veterinary Microbiology Detection and genetic characterization of Mamastrovirus 5 from Brazilian dogs,2
More than efficacy revealed by single-cell analysis of antiviral therapeutics,2
"Evaluation of antiviral -passive -active immunization (""sandwich"") therapeutic strategy for functional cure of chronic hepatitis B in mice",2
